# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	5.8488	 0.0000	 5.8488	 -15.3391	 34.5537	 205.2370	 79.1640	 4.6300	 1.0629	 69.7417	 0.0008	 0.1060	 0.0598	 0.0000	 0.2540	 0.2631	 4.0807	 2807.1676	 2807.4133	 1867.3698	 0.8202	 -13.3185	 -10.9138	 -8.9213
1949	01	02	0.7752	 0.0000	 0.7752	 -20.0935	 42.3714	 180.5208	 78.7864	 2.5800	 1.0777	 62.9976	 0.0005	 0.0574	 0.0532	 0.0000	 0.2534	 0.0693	 4.7619	 2806.8388	 2807.4132	 1863.1679	 0.8500	 -19.3407	 -17.9371	 -14.5611
1949	01	03	0.0000	 0.0000	 0.0000	 -23.2729	 59.6966	 151.5492	 78.5253	 0.7900	 1.0878	 61.7014	 0.0003	 0.0407	 0.0441	 0.0000	 0.2528	 0.0117	 4.7746	 2806.5105	 2807.4129	 1858.9755	 0.6792	 -22.8619	 -21.6588	 -17.5497
1949	01	04	0.0000	 0.0000	 0.0000	 -22.1610	 53.3138	 162.6262	 78.6212	 2.1400	 1.0842	 69.0825	 0.0004	 0.0548	 0.0334	 0.0000	 0.2522	 0.0303	 4.7345	 2806.1826	 2807.4124	 1854.7927	 0.6769	 -21.9402	 -20.9542	 -16.9839
1949	01	05	3.8760	 0.0000	 3.8760	 -19.5266	 38.9806	 188.1057	 78.8334	 1.9100	 1.0759	 74.2881	 0.0006	 0.0777	 0.0359	 0.0000	 0.2517	 -0.0022	 8.4469	 2805.8552	 2807.4118	 1850.6193	 0.8500	 -19.6723	 -19.1222	 -15.5128
1949	01	06	10.8240	 0.0000	 10.8240	 -16.1524	 28.6333	 212.2120	 79.1020	 3.2900	 1.0654	 81.7541	 0.0009	 0.1199	 0.0310	 0.0000	 0.2511	 0.0367	 19.1934	 2805.5281	 2807.4111	 1846.4553	 0.8500	 -16.2605	 -15.7991	 -12.8442
1949	01	07	5.6496	 0.0000	 5.6496	 -12.4142	 42.5017	 207.4813	 79.3859	 5.9800	 1.0541	 65.6986	 0.0010	 0.1255	 0.0993	 0.0000	 0.2505	 0.4630	 24.4974	 2805.2015	 2807.4102	 1842.3008	 0.8500	 -12.5495	 -12.2500	 -9.9943
1949	01	08	1.9992	 0.0000	 1.9992	 -19.2398	 46.9715	 180.7882	 78.8523	 2.0700	 1.0751	 59.2525	 0.0004	 0.0563	 0.0678	 0.0000	 0.2500	 0.0612	 26.4033	 2804.8753	 2807.4092	 1838.1556	 0.8500	 -18.3120	 -16.7775	 -13.6299
1949	01	09	0.0000	 0.0000	 0.0000	 -24.3504	 63.6326	 148.7467	 78.4373	 0.3600	 1.0913	 59.5852	 0.0003	 0.0347	 0.0411	 0.0000	 0.2494	 0.0056	 26.4150	 2804.5495	 2807.4080	 1834.0198	 0.6792	 -23.5900	 -22.0237	 -17.8427
1949	01	10	0.0000	 0.0000	 0.0000	 -24.1745	 63.3290	 150.5411	 78.4525	 0.4700	 1.0907	 63.8296	 0.0003	 0.0398	 0.0363	 0.0000	 0.2489	 0.0063	 26.4020	 2804.2241	 2807.4068	 1829.8934	 0.6769	 -23.9741	 -22.9332	 -18.5731
